Model,Weighted_Yield,Weighted_Quality,Weighted_QYI,Cost
Claude-3.7-Sonnet,0.5963302752293578,0.4686418141993501,0.5033804686934877,10.211376000000001
DeepSeek-R1,0.6972477064220184,0.5774786880662209,0.5497613438082675,2.20762729
DeepSeek-V3-0304,0.45871559633027525,0.3889853401286581,0.3707350059677378,0.5490064800000001
GPT-o4-mini:high,0.6926605504587156,0.6439745393516236,0.6088897345539104,5.4771772
Gemini-2.5-Flash-0417,0.6605504587155964,0.5280710856959938,0.5682284542835527,1.57536455
Gemini-2.5-Pro-0506,0.6467889908256881,0.6700432180770771,0.6170361475639661,8.15831125
LLaMA-3.3-70B-Instruct,0.3394495412844037,0.3520955828277669,0.29509494863144425,0.09347468
LLaMA-4-Maverick-17B-128E-Instruct,0.3211009174311927,0.338313647708639,0.29552543243560553,0.30130080000000004
Qwen3-235B-A22B,0.44495412844036697,0.45131704249613064,0.4355052474142274,0.6755308571428572
Gemini-3.1-Pro,0.849,0.947,0.878,23.6656
GPT-5.3-Codex,0.908,0.773,0.788,6.0531
Claude-Opus-4.6,0.789,0.849,0.750,12.4053
GLM-5,0.784,0.849,0.776,2.0832
Gemini-3-Flash,0.766,0.760,0.682,2.137
Grok-4,0.628,0.868,0.652,19.606
Kimi-K2.5,0.679,0.730,0.593,1.3341
Qwen3.5-397B,0.670,0.709,0.578,1.24
MiniMax-M2.5,0.339,0.681,0.300,0.8227
DeepSeek-V3.2,0.339,0.626,0.307,0.4704
MiMo-V2-Flash,0.14378606557377047,0.532472950819672,0.1613065573770492,0.1032
GPT-5.4,0.7500045081967214,0.7709643442622951,0.737777868852459,3.1808
Mimo-V2-Pro,0.6516385245901639,0.6883622950819672,0.6099467213114754,1.4412
Mimo-V2-Omni,0.5655696721311475,0.5633520491803279,0.5609680327868853,0.8815
GLM-5.1,0.7622864754098362,0.8898081967213115,0.8047438524590165,6.0602
Gemma-4-31B,0.6444684426229509,0.7797315573770492,0.5770049180327869,0.1074
Claude-Opus-4.7,0.9262262295081968,0.9219741803278689,0.9210852459016393,19.5655
Kimi-K2.6,0.27869016393442625,0.238872131147541,0.25464590163934425,8.2075
Mimo-V2.5-Pro,0.6598409836065574,0.7747733606557378,0.6546077868852459,3.3723
DeepSeek-V4-Pro,0.6229532786885246,0.7212213114754099,0.6303295081967213,1.2059
GPT-5.5,0.918036475409836,0.9511848360655738,0.9306565573770491,14.9873
