Model,Problem,QYI,Yield,Quality
Gemini-3.1-Pro,operator_scheduling,1.000,1.000,1.000
Gemini-3.1-Pro,technology_mapping,0.666,0.516,0.937
Gemini-3.1-Pro,global_routing,0.769,0.625,1.000
Gemini-3.1-Pro,egraph_extraction,0.940,1.000,0.886
Gemini-3.1-Pro,intra_op_parallel,0.957,1.000,0.917
Gemini-3.1-Pro,pedigree,1.000,1.000,1.000
Gemini-3.1-Pro,crew_pairing,0.533,0.429,0.706
Gemini-3.1-Pro,pickup_delivery_time_windows,0.998,1.000,0.996
Gemini-3.1-Pro,protein_sequence_design,0.938,0.958,0.918
Claude-Opus-4.6,operator_scheduling,0.993,1.000,0.987
Claude-Opus-4.6,technology_mapping,0.785,0.839,0.738
Claude-Opus-4.6,global_routing,0.978,1.000,0.957
Claude-Opus-4.6,egraph_extraction,0.927,1.000,0.864
Claude-Opus-4.6,intra_op_parallel,0.890,1.000,0.802
Claude-Opus-4.6,pedigree,0.788,0.650,1.000
Claude-Opus-4.6,crew_pairing,0.582,0.714,0.492
Claude-Opus-4.6,pickup_delivery_time_windows,0.000,0.000,0.000
Claude-Opus-4.6,protein_sequence_design,0.907,1.000,0.829
GPT-5.3-Codex,operator_scheduling,0.996,1.000,0.993
GPT-5.3-Codex,technology_mapping,0.404,1.000,0.253
GPT-5.3-Codex,global_routing,0.978,1.000,0.957
GPT-5.3-Codex,egraph_extraction,0.736,1.000,0.582
GPT-5.3-Codex,intra_op_parallel,0.863,1.000,0.760
GPT-5.3-Codex,pedigree,0.971,1.000,0.943
GPT-5.3-Codex,crew_pairing,0.956,1.000,0.916
GPT-5.3-Codex,pickup_delivery_time_windows,0.498,0.333,0.987
GPT-5.3-Codex,protein_sequence_design,0.963,1.000,0.928
GLM-5,operator_scheduling,0.990,1.000,0.980
GLM-5,technology_mapping,0.716,0.774,0.666
GLM-5,global_routing,0.956,0.917,0.999
GLM-5,egraph_extraction,0.924,1.000,0.859
GLM-5,intra_op_parallel,0.822,0.821,0.822
GLM-5,pedigree,0.788,0.650,1.000
GLM-5,crew_pairing,0.861,1.000,0.756
GLM-5,pickup_delivery_time_windows,0.285,0.167,0.995
GLM-5,protein_sequence_design,0.819,0.958,0.715
Gemini-3-Flash,operator_scheduling,0.995,1.000,0.990
Gemini-3-Flash,technology_mapping,0.608,0.871,0.467
Gemini-3-Flash,global_routing,0.000,0.000,0.000
Gemini-3-Flash,egraph_extraction,0.932,1.000,0.873
Gemini-3-Flash,intra_op_parallel,0.853,1.000,0.744
Gemini-3-Flash,pedigree,0.863,1.000,0.759
